
Дата	Период	Факт	Прогноз	Пред	Ед. изм.
05.02.2020	Дек ' 19	49.69 	50.30	49.78	млрд CAD
07.01.2020	Ноя ' 19	49.78 	51.02	50.99	млрд CAD
05.12.2019	Окт ' 19	50.99 	50.35	50.76	млрд CAD
05.11.2019	Сен ' 19	50.76 	50.98	51.54	млрд CAD
04.10.2019	Авг ' 19	51.54 		50.89	млрд CAD
04.09.2019	Июл ' 19	50.89 		50.17	млрд CAD
02.08.2019	Июн ' 19	50.17 	51.80	52.34	млрд CAD
03.07.2019	Май ' 19	52.34 	52.10	51.67	млрд CAD
06.06.2019	Апр ' 19	51.67 		52.26	млрд CAD
09.05.2019	Мар ' 19	52.26 		50.87	млрд CAD
17.04.2019	Фев ' 19	50.87 	51.50	51.82	млрд CAD
27.03.2019	Янв ' 19	51.82 	50.51	50.90	млрд CAD
06.03.2019	Ноя ' 18	 		50.62	млрд CAD
06.03.2019	Дек ' 18	50.90 		50.39	млрд CAD
05.02.2019	Дек ' 18	 		50.39	млрд CAD
08.01.2019	Ноя ' 18	50.39 		50.49	млрд CAD
06.12.2018	Окт ' 18	50.49 	51.10	50.79	млрд CAD
02.11.2018	Сен ' 18	50.79 		50.02	млрд CAD
05.10.2018	Авг ' 18	50.02 		51.38	млрд CAD
05.09.2018	Июл ' 18	51.38 		51.32	млрд CAD
03.08.2018	Июн ' 18	51.32 		51.12	млрд CAD
06.07.2018	Май ' 18	51.12 		50.47	млрд CAD
06.06.2018	Апр ' 18	50.47 		51.72	млрд CAD
03.05.2018	Мар ' 18	51.72 		48.63	млрд CAD
05.04.2018	Фев ' 18	48.63 		47.75	млрд CAD
07.03.2018	Янв ' 18	47.75 		49.70	млрд CAD
06.02.2018	Дек ' 17	49.70 		48.75	млрд CAD
05.01.2018	Ноя ' 17	48.75 		45.93	млрд CAD
05.12.2017	Окт ' 17	45.93 		46.74	млрд CAD
03.11.2017	Сен ' 17	46.74 		47.04	млрд CAD
05.10.2017	Авг ' 17	47.04 		47.18	млрд CAD
06.09.2017	Июл ' 17	47.18 		50.12	млрд CAD
04.08.2017	Июн ' 17	50.12 		49.77	млрд CAD
06.07.2017	Май ' 17	49.77 		48.06	млрд CAD
02.06.2017	Апр ' 17	48.06 		47.11	млрд CAD
04.05.2017	Мар ' 17	47.11 		46.31	млрд CAD
04.04.2017	Фев ' 17	46.31 		45.64	млрд CAD
07.03.2017	Янв ' 17	45.64 		45.52	млрд CAD
